formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (!(b)) & ((b) R ((b) | (c)))),always.power,ok,0,0.011274,2,4,12,1,1,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0 | !1 | !2] 0 {0} [!0&1&2] 1 State: 1 [!0&!1] 0 {0} [!0&1] 1 --END--"
F((a) & (G(b))),best,ok,0,0.0145345,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),spot#tgba,ok,0,0.0120806,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),pldi#tgba,ok,0,0.0148445,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 {0} State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),spot#tba,ok,0,0.00949166,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),pldi#tba,ok,0,0.00810611,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 {0} State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),spot#sba,ok,0,0.0103461,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),pldi#sba,ok,0,0.0105432,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 {0} State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),entry.nopower,ok,0,0.00828223,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
F((a) & (G(b))),entry.power,ok,0,0.0103972,2,4,8,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | !1] 0 {0} [0&1] 1 State: 1 [!1] 0 {0} [1] 1 --END--"
