formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (F(b)) & ((c) R (!(b)))),yes.seminator#def,ok,0,0.00868515,4,9,32,1,3,0,0,1,"HOA: v1 name: ""sDBA for F(a & Fb & (c R !b))"" States: 4 Start: 3 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [!1] 1 State: 2 [!1&2] 1 [!1&!2] 2 [1] 3 State: 3 [0&!1&2] 1 [0&!1&!2] 2 [!0 | 1] 3 --END--"
F((a) & (F(b)) & ((c) R (!(b)))),yes.owl#s,ok,0,0.00987615,4,9,32,1,3,0,0,1,"HOA: v1 States: 4 Start: 3 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [!1] 1 State: 2 [!1&2] 1 [!1&!2] 2 [1] 3 State: 3 [0&!1&2] 1 [0&!1&!2] 2 [!0 | 1] 3 --END--"
F((a) & (F(b)) & ((c) R (!(b)))),no.owl#s,ok,0,0.00211575,4,9,32,1,3,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&!1&!2] 1 [!0 | 1] 0 [0&!1&2] 2 State: 1 [!1&!2] 1 [1] 0 [!1&2] 2 State: 2 [1] 3 {0} [!1] 2 State: 3 [t] 3 {0} --END--"
F((a) & (F(b)) & ((c) R (!(b)))),yes.owl#a,ok,0,0.00795928,4,9,32,1,3,0,0,1,"HOA: v1 States: 4 Start: 3 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [!1] 1 State: 2 [!1&2] 1 [!1&!2] 2 [1] 3 State: 3 [0&!1&2] 1 [0&!1&!2] 2 [!0 | 1] 3 --END--"
F((a) & (F(b)) & ((c) R (!(b)))),no.owl#a,ok,0,0.00170636,4,9,32,1,3,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | 1] 0 [0&!1&!2] 1 [0&!1&2] 2 State: 1 [1] 0 [!1&!2] 1 [!1&2] 2 State: 2 [1] 3 {0} [!1] 2 State: 3 [t] 3 {0} --END--"
F((a) & ((c) U ((b) & (c)))),yes.seminator#def,ok,0,0.00729651,3,7,24,1,2,0,0,1,"HOA: v1 name: ""sDBA for F(a & (b M c))"" States: 3 Start: 1 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0&1&2] 0 [!1 | !2] 1 [!0&1&2] 2 State: 2 [0&1] 0 [!1] 1 [!0&1] 2 --END--"
F((a) & ((c) U ((b) & (c)))),yes.owl#s,ok,0,0.00672966,3,7,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0&1] 0 [!0&1] 1 [!1] 2 State: 2 [0&1&2] 0 [!0&1&2] 1 [!1 | !2] 2 --END--"
F((a) & ((c) U ((b) & (c)))),no.owl#s,ok,0,0.00195994,3,7,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1&2] 2 [0&1&2] 1 {0} [!1 | !2] 0 State: 1 [t] 1 {0} State: 2 [!0&1] 2 [0&1] 1 {0} [!1] 0 --END--"
F((a) & ((c) U ((b) & (c)))),yes.owl#a,ok,0,0.0082265,3,7,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0&1] 0 [!0&1] 1 [!1] 2 State: 2 [0&1&2] 0 [!0&1&2] 1 [!1 | !2] 2 --END--"
F((a) & ((c) U ((b) & (c)))),no.owl#a,ok,0,0.00291392,3,7,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1&2] 2 [0&1&2] 1 {0} [!1 | !2] 0 State: 1 [t] 1 {0} State: 2 [!0&1] 2 [0&1] 1 {0} [!1] 0 --END--"
