formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.owl#s,ok,0,0.0134579,4,8,27,1,3,1,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [0 | !1 | !2] 0 [!0&1&2] 1 [!0&1&2] 2 State: 1 [!0&!1] 0 [!0&1] 1 State: 2 {0} [!0&1] 2 [0] 3 State: 3 {0} [t] 3 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.owl#s,ok,0,0.0067221,5,11,41,1,4,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&1&2] 1 {0} [0 | !1 | !2] 0 [!0&1&2] 3 State: 1 [!0&1] 1 {0} [0] 2 {0} State: 2 [t] 2 {0} State: 3 [!0&1] 1 {0} [!0&!1] 0 [!0&1] 3 [0] 4 {0} State: 4 [t] 4 {0} --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.owl#a,ok,0,0.0127014,4,8,31,1,3,1,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [0 | !1 | !2] 0 [!0&1&2] 1 [!0&1&2] 2 State: 1 {0} [0 | 1] 1 State: 2 [!0&!1] 0 [!0&1] 2 [0] 3 State: 3 {0} [t] 3 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.owl#a,ok,0,0.00300092,5,12,48,1,4,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&1&2] 2 {0} [!0&1&2] 3 [0 | !1 | !2] 0 [0 | 1&!2] 1 State: 1 [!0&1&2] 2 {0} [0 | 1&!2] 1 State: 2 [0 | 1] 2 {0} State: 3 [0 | 1] 2 {0} [!0&1] 3 [!0&!1] 0 [0] 4 {0} State: 4 [t] 4 {0} --END--"
F((a) & (G(b))),yes.seminator#def,ok,0,0.0164012,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),no.seminator#def,ok,0,0.0171883,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),yes.seminator#tgba,ok,0,0.0178108,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),no.seminator#tgba,ok,0,0.0218597,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),yes.seminator#tba,ok,0,0.0145306,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),no.seminator#tba,ok,0,0.0141825,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
